recNo,TxDate,Size,ProdName,UnitPrice
67,2021-08-25 10:38,Regular,Flavoured iced latte - Caramel,2.75
68,2021-08-25 10:39,Large,Latte,2.45
69,2021-08-25 10:40,,,
70,2021-08-25 10:41,,,
71,2021-08-25 10:42,,,
72,2021-08-25 10:43,Large,Flavoured latte - Hazelnut,2.85
73,2021-08-25 10:44,,,
74,2021-08-25 10:45,,,
75,2021-08-25 10:46,,,
76,2021-08-25 10:47,,,
77,2021-08-25 10:48,,,
78,2021-08-25 10:49,,,
79,2021-08-25 10:50,Regular,Flavoured iced latte - Caramel,2.75
80,2021-08-25 10:51,,,
81,2021-08-25 10:52,Large,Flat white,2.45
82,2021-08-25 10:53,Large,Flavoured latte - Hazelnut,2.85
83,2021-08-25 10:54,,,
84,2021-08-25 10:55,Regular,Flavoured iced latte - Caramel,2.75
85,2021-08-25 10:56,Regular,Flat white,2.15
86,2021-08-25 10:56,,,
87,2021-08-25 10:57,Regular,Flavoured iced latte - Hazelnut,2.75
88,2021-08-25 10:58,,,
89,2021-08-25 10:59,Regular,Flavoured iced latte - Hazelnut,2.75
90,2021-08-25 11:00,,,
91,2021-08-25 11:03,,,
92,2021-08-25 11:06,Regular,Flavoured iced latte - Vanilla,2.75
93,2021-08-25 11:08,,,
94,2021-08-25 11:11,,,
95,2021-08-25 11:13,Regular,Latte,2.15
96,2021-08-25 11:16,,,
97,2021-08-25 11:19,,,
98,2021-08-25 11:21,Large,Latte,2.45
99,2021-08-25 11:24,Large,Flavoured latte - Hazelnut,2.85
100,2021-08-25 11:26,,,
101,2021-08-25 11:29,,,
102,2021-08-25 11:32,Large,Latte,2.45
103,2021-08-25 11:34,,,
104,2021-08-25 11:37,,,
105,2021-08-25 11:39,Large,Latte,2.45
106,2021-08-25 11:42,,,
107,2021-08-25 11:45,,,
108,2021-08-25 11:47,,,
109,2021-08-25 11:50,,,
110,2021-08-25 11:52,,,
111,2021-08-25 11:55,Large,Flavoured iced latte - Vanilla,3.25
112,2021-08-25 11:58,Regular,Flat white,2.15
113,2021-08-25 12:00,,,
114,2021-08-25 12:05,Regular,Flavoured iced latte - Hazelnut,2.75
115,2021-08-25 12:09,,,
116,2021-08-25 12:14,,,
117,2021-08-25 12:19,Regular,Flavoured iced latte - Caramel,2.75
118,2021-08-25 12:23,,,
119,2021-08-25 12:28,Regular,Flat white,2.15
120,2021-08-25 12:32,,,
121,2021-08-25 12:37,,,
122,2021-08-25 12:42,Large,Flavoured iced latte - Hazelnut,3.25
123,2021-08-25 12:46,,,
124,2021-08-25 12:51,Large,Latte,2.45
125,2021-08-25 12:55,,,
126,2021-08-25 13:00,,,
127,2021-08-25 13:02,,,
128,2021-08-25 13:04,,,
129,2021-08-25 13:06,Regular,Flavoured iced latte - Hazelnut,2.75
130,2021-08-25 13:08,,,
131,2021-08-25 13:10,,,
132,2021-08-25 13:12,,,
133,2021-08-25 13:15,,,
134,2021-08-25 13:17,,,
135,2021-08-25 13:19,,,
136,2021-08-25 13:21,Large,Flavoured latte - Hazelnut,2.85
137,2021-08-25 13:23,,,
138,2021-08-25 13:25,Regular,Flat white,2.15
139,2021-08-25 13:27,Regular,Flat white,2.15
140,2021-08-25 13:29,,,
141,2021-08-25 13:31,,,
142,2021-08-25 13:33,,,
143,2021-08-25 13:35,,,
144,2021-08-25 13:37,,,
145,2021-08-25 13:39,Large,Flavoured iced latte - Hazelnut,3.25
146,2021-08-25 13:41,,,
147,2021-08-25 13:43,,,
148,2021-08-25 13:46,,,
149,2021-08-25 13:48,Large,Latte,2.45
150,2021-08-25 13:50,,,
151,2021-08-25 13:52,Large,Flat white,2.45
152,2021-08-25 13:54,,,
153,2021-08-25 13:56,Large,Flavoured iced latte - Hazelnut,3.25
154,2021-08-25 13:58,,,
155,2021-08-25 14:00,,,
156,2021-08-25 14:01,,,
157,2021-08-25 14:03,Large,Flat white,2.45
158,2021-08-25 14:04,,,
159,2021-08-25 14:05,Large,Flat white,2.45
160,2021-08-25 14:06,Regular,Flavoured iced latte - Vanilla,2.75
161,2021-08-25 14:08,,,
162,2021-08-25 14:09,Regular,Flavoured latte - Hazelnut,2.55
163,2021-08-25 14:10,,,
164,2021-08-25 14:11,,,
165,2021-08-25 14:13,Large,Flavoured latte - Hazelnut,2.85
166,2021-08-25 14:14,,,
167,2021-08-25 14:15,,,
168,2021-08-25 14:16,,,
169,2021-08-25 14:18,,,
170,2021-08-25 14:19,,,
171,2021-08-25 14:20,,,
172,2021-08-25 14:22,,,
173,2021-08-25 14:23,,,
174,2021-08-25 14:24,,,
175,2021-08-25 14:25,Regular,Flavoured iced latte - Hazelnut,2.75
176,2021-08-25 14:27,Regular,Flavoured iced latte - Vanilla,2.75
177,2021-08-25 14:28,,,
178,2021-08-25 14:29,Regular,Flavoured iced latte - Caramel,2.75
179,2021-08-25 14:30,,,
180,2021-08-25 14:32,Regular,Flavoured latte - Hazelnut,2.55
181,2021-08-25 14:33,,,
182,2021-08-25 14:34,Large,Flavoured latte - Hazelnut,2.85
183,2021-08-25 14:35,,,
184,2021-08-25 14:37,,,
185,2021-08-25 14:38,,,
186,2021-08-25 14:39,,,
187,2021-08-25 14:41,,,
188,2021-08-25 14:42,,,
189,2021-08-25 14:43,,,
190,2021-08-25 14:44,Large,Flavoured iced latte - Hazelnut,3.25
191,2021-08-25 14:46,,,
192,2021-08-25 14:47,Regular,Flat white,2.15
193,2021-08-25 14:48,,,
194,2021-08-25 14:49,,,
195,2021-08-25 14:51,,,
196,2021-08-25 14:52,,,
197,2021-08-25 14:53,Regular,Flavoured iced latte - Hazelnut,2.75
198,2021-08-25 14:54,,,
199,2021-08-25 14:56,,,
200,2021-08-25 14:57,,,
201,2021-08-25 14:58,Regular,Flavoured iced latte - Caramel,2.75
202,2021-08-25 15:00,Regular,Flavoured latte - Hazelnut,2.55
203,2021-08-25 15:01,Regular,Flat white,2.15
204,2021-08-25 15:02,,,
205,2021-08-25 15:03,Large,Flavoured iced latte - Hazelnut,3.25
206,2021-08-25 15:05,Regular,Flat white,2.15
207,2021-08-25 15:06,,,
208,2021-08-25 15:07,,,
209,2021-08-25 15:08,,,
210,2021-08-25 15:10,Large,Flat white,2.45
211,2021-08-25 15:11,,,
212,2021-08-25 15:12,,,
213,2021-08-25 15:13,,,
214,2021-08-25 15:15,Regular,Flavoured latte - Hazelnut,2.55
215,2021-08-25 15:16,,,
216,2021-08-25 15:17,,,
217,2021-08-25 15:18,Regular,Flavoured iced latte - Caramel,2.75
218,2021-08-25 15:20,,,
219,2021-08-25 15:21,Regular,Flavoured iced latte - Vanilla,2.75
220,2021-08-25 15:22,Regular,Flat white,2.15
221,2021-08-25 15:23,Regular,Flat white,2.15
222,2021-08-25 15:25,,,
223,2021-08-25 15:26,Regular,Latte,2.15
224,2021-08-25 15:27,,,
225,2021-08-25 15:28,,,
226,2021-08-25 15:30,,,
227,2021-08-25 15:31,,,
228,2021-08-25 15:32,Large,Flavoured iced latte - Vanilla,3.25
229,2021-08-25 15:33,,,
230,2021-08-25 15:35,,,
231,2021-08-25 15:36,,,
232,2021-08-25 15:37,Large,Flavoured iced latte - Caramel,3.25
233,2021-08-25 15:38,,,
234,2021-08-25 15:40,,,
235,2021-08-25 15:41,,,
236,2021-08-25 15:42,,,
237,2021-08-25 15:43,,,
238,2021-08-25 15:45,,,
239,2021-08-25 15:46,,,
240,2021-08-25 15:47,,,
241,2021-08-25 15:48,Regular,Latte,2.15
242,2021-08-25 15:50,,,
243,2021-08-25 15:51,,,
244,2021-08-25 15:52,,,
245,2021-08-25 15:53,,,
246,2021-08-25 15:55,,,
247,2021-08-25 15:56,Regular,Flavoured iced latte - Hazelnut,2.75
248,2021-08-25 15:57,,,
249,2021-08-25 15:58,,,
250,2021-08-25 16:00,,,
251,2021-08-25 16:03,,,
252,2021-08-25 16:07,Regular,Flavoured latte - Hazelnut,2.55
253,2021-08-25 16:10,,,
254,2021-08-25 16:14,Regular,Flavoured iced latte - Vanilla,2.75
255,2021-08-25 16:17,,,
256,2021-08-25 16:21,,,
257,2021-08-25 16:24,,,
258,2021-08-25 16:28,Regular,Flavoured latte - Hazelnut,2.55
259,2021-08-25 16:31,Regular,Flavoured latte - Hazelnut,2.55
260,2021-08-25 16:35,Large,Flavoured iced latte - Vanilla,3.25
261,2021-08-25 16:38,,,
262,2021-08-25 16:42,Regular,Flavoured latte - Hazelnut,2.55
263,2021-08-25 16:45,Large,Flavoured iced latte - Caramel,3.25
264,2021-08-25 16:49,,,
265,2021-08-25 16:52,Regular,Flat white,2.15
266,2021-08-25 16:56,,,
267,2021-08-25 16:59,,,
